0.008850, 0.067533, -1.072389, 2.370533
0.008900, 0.274103, -1.065810, 3.661156
0.008950, 0.472728, -0.921070, 4.223060
0.009000, 0.711078, -0.717119, 3.740174
0.009050, 0.917648, -0.447377, 2.379313
0.009100, 1.124218, -0.105265, 0.535565
0.009150, 1.227503, 0.217109, -1.404760
0.009200, 1.219558, 0.434219, -3.108032
0.009250, 0.973263, 0.493430, -3.950888
0.009300, 0.750803, 0.467114, -4.012346
0.009350, 0.520398, 0.368428, -3.388984
0.009400, 0.258213, 0.203951, -2.142259
0.009450, 0.091368, -0.078949, -0.509226
0.009500, -0.019863, -0.342112, 1.185266
0.009550, -0.075478, -0.460535, 2.502229
0.009600, -0.051643, -0.407903, 3.160710
0.009650, 0.035753, -0.157898, 3.230948
0.009700, 0.194653, 0.085528, 2.800741
0.009750, 0.425058, 0.368428, 1.773510
0.009800, 0.591903, 0.625012, 0.000000
0.009850, 0.655463, 0.809226, -1.834968
0.009900, 0.671353, 0.769752, -2.853419
0.009950, 0.687243, 0.559221, -3.257288
0.010000, 0.607793, 0.342112, -3.283627
0.010050, 0.480673, 0.085528, -2.414432
0.010100, 0.528343, -0.118423, -0.798957
0.010150, 0.576013, -0.282900, 0.763838
0.010200, 0.536288, -0.401323, 2.028123
0.010250, 0.512453, -0.500010, 3.406543
0.010300, 0.583958, -0.506589, 4.223060
0.010350, 0.655463, -0.322375, 3.582138
0.010400, 0.607793, -0.006579, 2.072021
0.010450, 0.671353, 0.282900, 0.465327
0.010500, 0.814363, 0.388165, -1.071130
0.010550, 0.798473, 0.342112, -2.326634
0.010601, 0.615738, 0.282900, -3.046574
0.010651, 0.385333, 0.230268, -2.827080
0.010701, 0.226433, 0.092107, -1.712051
0.010751, 0.139038, -0.092107, -0.228274
0.010801, 0.083423, -0.190793, 0.895535
0.010851, 0.027808, -0.171056, 1.518897
0.010901, 0.075478, -0.111844, 2.001783
0.010951, 0.162873, -0.085528, 2.247616
0.011001, 0.139038, -0.072370, 2.028123
0.011051, 0.107258, 0.072370, 1.369641
0.011101, 0.131093, 0.368428, 0.509226
0.011151, 0.186708, 0.631591, -0.588243
0.011201, 0.218488, 0.717119, -1.764730
0.011251, 0.218488, 0.598696, -2.765622
0.011301, 0.194653, 0.467114, -3.239728
0.011351, 0.107258, 0.309216, -2.686604
0.011401, 0.083423, 0.032895, -1.176487
0.011451, 0.131093, -0.125002, 0.614583
0.011501, 0.170818, -0.197372, 2.089581
0.011551, 0.321773, -0.210530, 2.985115
